Alert ID,Alert Name,Release Date,Last revised,Alert Link
AA22-321A, #StopRansomware: Hive Ransomware,"November 17, 2022","November 18, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-321a
AA22-320A," Iranian Government-Sponsored APT Actors Compromise Federal Network, Deploy Crypto Miner, Credential Harvester","November 16, 2022","November 17, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-320a
AA22-294A, #StopRansomware: Daixin Team,"October 21, 2022","October 26, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-294a
AA22-279A, Top CVEs Actively Exploited By People’s Republic of China State-Sponsored Cyber Actors,"October 06, 2022","October 06, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-279a
AA22-277A, Impacket and Exfiltration Tool Used to Steal Sensitive Information from Defense Industrial Base Organization,"October 04, 2022","October 05, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-277a
AA22-265A, Control System Defense: Know the Opponent,"September 22, 2022","September 22, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-265a
AA22-264A, Iranian State Actors Conduct Cyber Operations Against the Government of Albania,"September 21, 2022","September 23, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-264a
AA22-257A, Iranian Islamic Revolutionary Guard Corps-Affiliated Cyber Actors Exploiting Vulnerabilities for Data Extortion and Disk Encryption for Ransom Operations,"September 14, 2022","September 14, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-257a
AA22-249A, #StopRansomware: Vice Society,"September 06, 2022","September 08, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-249a
AA22-228A, Threat Actors Exploiting Multiple CVEs Against Zimbra Collaboration Suite,"August 16, 2022","November 10, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-228a
AA22-223A, #StopRansomware: Zeppelin Ransomware,"August 11, 2022","August 11, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-223a
AA22-216A, 2021 Top Malware Strains,"August 04, 2022","August 25, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-216a
AA22-187A, North Korean State-Sponsored Cyber Actors Use Maui Ransomware to Target the Healthcare and Public Health Sector ,"July 06, 2022","July 07, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-187a
AA22-181A, #StopRansomware: MedusaLocker ,"June 30, 2022","August 11, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-181a
AA22-174A, Malicious Cyber Actors Continue to Exploit Log4Shell in VMware Horizon Systems,"June 23, 2022","July 18, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-174a
AA22-158A, People’s Republic of China State-Sponsored Cyber Actors Exploit Network Providers and Devices,"June 07, 2022","June 10, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-158a
AA22-152A, Karakurt Data Extortion Group ,"June 01, 2022","June 02, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-152a
AA22-138B, Threat Actors Chaining Unpatched VMware Vulnerabilities for Full System Control ,"May 18, 2022","June 02, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-138b
AA22-138A, Threat Actors Exploiting F5 BIG-IP CVE-2022-1388,"May 18, 2022","October 12, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-138a
AA22-137A, Weak Security Controls and Practices Routinely Exploited for Initial Access,"May 17, 2022","May 17, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-137a
AA22-131A, Protecting Against Cyber Threats to Managed Service Providers and their Customers,"May 11, 2022","May 11, 2022",https://www.cisa.gov/uscert/ncas/alerts/aa22-131a
